type,title,description,director,n_directors,cast,n_cast_members,country,n_countries,main_country,continent,language,release_year,release_decade,date_added,year_added,delay_added,rating,rating_group,duration,duration_category,listed_in,n_genres,genre
Movie,God Calling,"The loss of a child plunges Sade into a suicidal depression, but her suffering leads to faith – with a little assist from modern technology.",BB Sasore,1,"Zainab Balogun, Karibi Fubara, Diana Egwuatu, Richard Mofe-Damijo, Tina Mba, Onyeka Onwenu, Nkem Owoh, Patrick Diabuah, Ademola Adedoyin, Bikiya Graham Douglas",10,Nigeria,1,Nigeria,Africa,English,2018,2010,2021-04-02,2021,3,TV-MA,Adult,120,Feature Film,"Dramas, Faith & Spirituality, International Movies",3,Drama
Movie,Irul,"When a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there’s a killer among them.",Naseef Yusuf Izuddin,1,"Fahadh Faasil, Soubin Shahir, Darshana Rajendran",3,India,1,India,Asia,Hindi,2021,2020,2021-04-02,2021,0,TV-MA,Adult,91,Feature Film,"International Movies, Thrillers",2,International
Movie,Just Say Yes,Incurable romantic Lotte finds her life upended when her plans for a picture-perfect wedding unravel — just as her self-absorbed sister gets engaged.,"Appie Boudellah, Aram van de Rest",2,"Yolanthe Cabau, Noortje Herlaar, Kim-Lian van der Meij, Nienke Plas, Pip Pellens, Jim Bakkum, Huub Smit, Edwin Jonker",8,Netherlands,1,Netherlands,Europe,Dutch,2021,2020,2021-04-02,2021,0,TV-MA,Adult,98,Feature Film,"Comedies, International Movies, Romantic Movies",3,Comedy
Movie,Madame Claude,"In 1960s Paris, Madame Claude's influence extends beyond the world of sex work — until an affluent young woman threatens to change everything.",Sylvie Verheyde,1,"Karole Rocher, Garance Marillier, Roschdy Zem, Pierre Deladonchamps, Liah O'Prey, Paul Hamy, Mylène Jampanoï, Hafsia Herzi, Regina Anikiy, Annabelle Belmondo, Joséphine de La Baume",11,France,1,France,Europe,French,2021,2020,2021-04-02,2021,0,TV-MA,Adult,113,Feature Film,"Dramas, International Movies",2,Drama
Movie,Wild Child,"Accustomed to getting her way, a wealthy teenage girl from Los Angeles is sent to a strict boarding school in England to clean up her act.",Nick Moore,1,"Emma Roberts, Kimberley Nixon, Juno Temple, Linzey Cocker, Sophie Wu, Alex Pettyfer, Georgia King, Natasha Richardson, Aidan Quinn, Lexi Ainsworth",10,"United States, United Kingdom, France",3,United States,North America,English,2008,2000,2021-04-02,2021,13,PG-13,Teen,98,Feature Film,"Comedies, Romantic Movies",2,Comedy
Movie,Woody Woodpecker,A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.,Alex Zamm,1,"Timothy Omundson, Thaila Ayala, Eric Bauza, Graham Verchere, Jordana Largy, Scott McNeil, Adrian Glynn McMorran, Chelsea Miller, Sean Tyson",9,United States,1,United States,North America,English,2017,2010,2021-04-02,2021,4,PG,Family,91,Feature Film,"Children & Family Movies, Comedies",2,Family
Movie,2012,"When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.",Roland Emmerich,1,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily",10,United States,1,United States,North America,English,2009,2000,2021-04-01,2021,12,PG-13,Teen,158,Feature Film,"Action & Adventure, Sci-Fi & Fantasy",2,Action & Adventure
Movie,3 Idiots,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",Rajkumar Hirani,1,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",8,India,1,India,Asia,Hindi,2009,2000,2021-04-01,2021,12,PG-13,Teen,164,Feature Film,"Comedies, Dramas, International Movies",3,Comedy
Movie,Ferrari Ki Sawaari,A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.,Rajesh Mapuskar,1,"Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal, Deepak Shirke, Satyadeep Misra, Aakash Dabhade, Nilesh Diwekar, Vidya Balan",9,India,1,India,Asia,Hindi,2012,2010,2021-04-01,2021,9,TV-PG,Teen,133,Feature Film,"Comedies, International Movies, Sports Movies",3,Comedy
TV Show,Glimpses of a Future,"This docuseries celebrates the virtual collaborations between a group of artists, dancers and writers from around the world during the pandemic.",Not Informed,0,Not Informed,0,Unknown,0,Unknown,Unknown,Unknown,2020,2020,2021-04-01,2021,1,TV-PG,Teen,1,Limited Series,"Docuseries, International TV Shows",2,Documentary
Movie,Ibrahim a Fate to Define,"Raised in a quiet home, Lina searches for answers while investigating the mystery behind her father's disappearance in this documentary.",Lina Al Abed,1,Not Informed,0,"Lebanon, Palestine, Denmark, Qatar",4,Lebanon,Asia,Arabic,2019,2010,2021-04-01,2021,2,TV-PG,Teen,75,Feature Film,"Documentaries, International Movies",2,Documentary
Movie,Insidious,"A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house.",James Wan,1,"Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey, Leigh Whannell, Angus Sampson, Andrew Astor, Joseph Bishara",9,"United States, Canada",2,United States,North America,English,2010,2010,2021-04-01,2021,11,PG-13,Teen,103,Feature Film,"Horror Movies, Thrillers",2,Horror
Movie,Into the Grizzly Maze,Estranged brothers Beckett and Rowan reunite in the Alaskan wild to confront a savage grizzly bear wreaking havoc on their hometown.,David Hackl,1,"James Marsden, Thomas Jane, Billy Bob Thornton, Piper Perabo, Scott Glenn, Michaela McManus, Adam Beach, Kelly Curran",8,"United States, Canada",2,United States,North America,English,2015,2010,2021-04-01,2021,6,R,Adult,90,Feature Film,"Action & Adventure, Horror Movies",2,Action & Adventure
Movie,Kingsglaive: Final Fantasy XV,King Regis of Lucis orders his Kingsglaive warriors to stop the army of Niflheim before it invades and steals the crystal that gives Lucis its power.,Takeshi Nozue,1,"Aaron Paul, Lena Headey, Sean Bean, Adrian Bouchet, Liam Mulvey, Alexa Kahn, Todd Haberkorn, John DeMita, David Gant, Darin De Paul",10,"Japan, United States",2,Japan,Asia,Japanese,2016,2010,2021-04-01,2021,5,PG-13,Teen,116,Feature Film,"Action & Adventure, Sci-Fi & Fantasy",2,Action & Adventure
Movie,Legally Blonde,"When dazzling L.A. sorority girl Elle Woods gets dumped by her snobby boyfriend, she decides to win him back by following him to Harvard Law School.",Robert Luketic,1,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge",6,United States,1,United States,North America,English,2001,2000,2021-04-01,2021,20,PG-13,Teen,96,Feature Film,"Comedies, Romantic Movies",2,Comedy
Movie,Madam Chief Minister,"Rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk.",Subhash Kapoor,1,"Richa Chadda, Saurabh Shukla, Manav Kaul, Shubrajyoti Barat, Akshay Oberoi, Boloram Das, Nikhil Vijay, Raviza Chauhan",8,India,1,India,Asia,Hindi,2020,2020,2021-04-01,2021,1,TV-14,Teen,121,Feature Film,"Dramas, International Movies",2,Drama
TV Show,Magical Andes,"From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains.",Not Informed,0,Not Informed,0,"Uruguay, Germany",2,Uruguay,South America,Spanish,2021,2020,2021-04-01,2021,0,TV-G,Family,2,Short Series,"Docuseries, International TV Shows, Science & Nature TV",3,Documentary
Movie,Maximum Risk,"After discovering he's a twin when a look-alike turns up dead, a French cop assumes his brother's identity to uncover the truth and seek vengeance.",Ringo Lam,1,"Jean-Claude Van Damme, Natasha Henstridge, Jean-Hugues Anglade, Zach Grenier, Paul Ben-Victor, Frank Senger, Stéphane Audran",7,United States,1,United States,North America,English,1996,1990,2021-04-01,2021,25,R,Adult,101,Feature Film,Action & Adventure,1,Action & Adventure
TV Show,Murder Maps,Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.,Not Informed,0,Nicholas Day,1,United Kingdom,1,United Kingdom,Europe,English,2017,2010,2021-04-01,2021,4,TV-MA,Adult,2,Short Series,"British TV Shows, Crime TV Shows, Docuseries",3,TV Shows
Movie,My Fair Lady,"When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives.",George Cukor,1,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfred Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland, Alan Napier, Marni Nixon",12,United States,1,United States,North America,English,1964,1960,2021-04-01,2021,57,G,Kids,173,Feature Film,"Classic Movies, Music & Musicals",2,Other
TV Show,Prank Encounters,Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.,Not Informed,0,Gaten Matarazzo,1,United States,1,United States,North America,English,2021,2020,2021-04-01,2021,0,TV-MA,Adult,2,Short Series,"Reality TV, TV Comedies, TV Horror",3,Reality
Movie,S.W.A.T.: Under Siege,"When a S.W.A.T. team takes in a mysterious, high-profile prisoner, international threats unleash a barrage of attacks on their compound to retrieve him.",Tony Giglio,1,"Sam Jaeger, Michael Jai White, Adrianne Palicki, Ty Olsson, Kyra Zagorsky, Olivia Cheng, Lisa Chandler, Monique Ganderton, Matthew Marsden, Chris Gauthier",10,United States,1,United States,North America,English,2017,2010,2021-04-01,2021,4,R,Adult,89,Feature Film,"Action & Adventure, International Movies",2,Action & Adventure
TV Show,Secrets of Great British Castles,Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.,Not Informed,0,Dan Jones,1,United Kingdom,1,United Kingdom,Europe,English,2016,2010,2021-04-01,2021,5,TV-PG,Teen,2,Short Series,"British TV Shows, Docuseries, International TV Shows",3,TV Shows
Movie,Seven Souls in the Skull Castle: Season Bird,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Bird” version of the dynamic show performed in a 360º theater.",Hidenori Inoue,1,"Sadao Abe, Mirai Moriyama, Taichi Saotome, Yasuko Matsuyuki, Makoto Awane, Tenkyu Fukuda, Yusuke Shoji, Hazuki Shimizu, Zen Kajihara, Narushi Ikeda",10,Unknown,0,Unknown,Unknown,Unknown,2017,2010,2021-04-01,2021,4,TV-14,Teen,182,Feature Film,"Action & Adventure, Dramas, International Movies",3,Action & Adventure
Movie,Seven Souls in the Skull Castle: Season Flower,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Flower” version of the bold show performed in a 360º theater.",Hidenori Inoue,1,"Shun Oguri, Koji Yamamoto, Songha, Ryo, Munetaka Aoki, Nana Seino, Yoshimasa Kondo, Arata Furuta",8,Japan,1,Japan,Asia,Japanese,2017,2010,2021-04-01,2021,4,TV-14,Teen,181,Feature Film,"Action & Adventure, Dramas, International Movies",3,Action & Adventure
Movie,Seven Souls in the Skull Castle: Season Wind,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Wind” version of the dynamic show performed in a 360º theater.",Hidenori Inoue,1,"Kenichi Matsuyama, Osamu Mukai, Rena Tanaka, Jun Hashimoto, Takaya Yamauchi, Yukino Kishii, Katsuhisa Namase",7,Unknown,0,Unknown,Unknown,Unknown,2017,2010,2021-04-01,2021,4,TV-14,Teen,185,Feature Film,"Action & Adventure, Dramas, International Movies",3,Action & Adventure
Movie,Sniper: Ghost Shooter,Snipers ordered to protect a gas pipeline from terrorists suspect a security breach when they're targeted by a ghost shooter who knows their location.,Don Michael Paul,1,"Chad Michael Collins, Billy Zane, Dennis Haysbert, Nick Gomez, Ravil Isyanov, Stephanie Vogt, Navid Negahban, Presciliana Esparolini, Enoch Frost",9,United States,1,United States,North America,English,2016,2010,2021-04-01,2021,5,R,Adult,99,Feature Film,Action & Adventure,1,Action & Adventure
Movie,Starship Troopers: Traitor of Mars,"When a corrupt official plans to sabotage the planet Mars, it’s up to Rico and a group of fresh recruits to fend off a surprise bug attack on their own.","Shinji Aramaki, Masaru Matsumoto",2,"Casper Van Dien, Dina Meyer, DeRay Davis, Justin Doran, Luci Christian, Emily Neves, Scott Gibbs, Juliet Simmons, Chris Gibson, Greg Ayres",10,"United States, Japan",2,United States,North America,English,2017,2010,2021-04-01,2021,4,R,Adult,88,Feature Film,"Action & Adventure, Sci-Fi & Fantasy",2,Action & Adventure
Movie,Takers,An elite crew of bank robbers sets up a daring heist after a former associate persuades them to target an armored car that could be their biggest score.,John Luessenhop,1,"Matt Dillon, Paul Walker, Chris Brown, Idris Elba, Jay Hernandez, Hayden Christensen, Michael Ealy, T.I., Marianne Jean-Baptiste, Zoe Saldana, Steve Harris, Johnathon Schaech",12,United States,1,United States,North America,English,2010,2010,2021-04-01,2021,11,PG-13,Teen,107,Feature Film,Action & Adventure,1,Action & Adventure
Movie,Tersanjung the Movie,"After growing up in a tumultuous household, Yura finds herself in a love triangle with two close friends as she faces a personal and financial crisis.","Hanung Bramantyo, Pandu Adjisurya",2,"Clara Bernadeth, Giorgino Abraham, Kevin Ardilova, Nugie, Kinaryosih, Marthino Lio, Djenar Maesa Ayu, Ernanto Kusuma, Sacha Stevenson",9,Indonesia,1,Indonesia,Asia,Indonesian,2021,2020,2021-04-01,2021,0,TV-14,Teen,114,Feature Film,"Dramas, International Movies, Romantic Movies",3,Drama
Movie,The Knight and the Princess,"A fictional account of the heroic quests of a 7th-century knight, from rescuing hostages abducted by pirates in the Indian Sea to taking on a tyrant.",Bashir El Deek,1,"Sedky Sakhr, Hashem El Garhy, Shahira Kamal, Aiemzy, Hani R. Eskander, Saif Abu-Kandil",6,"Egypt, Saudi Arabia",2,Egypt,Africa,Arabic,2019,2010,2021-04-01,2021,2,TV-PG,Teen,96,Feature Film,"Action & Adventure, International Movies, Music & Musicals",3,Action & Adventure
Movie,The Pianist,Famed Polish pianist Wladyslaw Szpilman struggles to survive the onslaught of Nazi tyranny during World War II in this drama based on his memoirs.,Roman Polański,1,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Julia Rayner, Jessica Kate Meyer, Ronan Vibert, Ruth Platt",10,"United Kingdom, France, Poland, Germany, United States",5,United Kingdom,Europe,English,2002,2000,2021-04-01,2021,19,R,Adult,149,Feature Film,"Dramas, Independent Movies, International Movies",3,Drama
Movie,The Stepfather,A series of mysterious events makes a teenager suspect that his mother's new boyfriend may be a dangerous serial killer known for preying on families.,Nelson McCormick,1,"Dylan Walsh, Sela Ward, Penn Badgley, Amber Heard, Sherry Stringfield, Paige Turco, Jon Tenney, Nancy Linehan Charles, Marcuis Harris, Braeden Lemasters, Deirdre Lovejoy",11,United States,1,United States,North America,English,2009,2000,2021-04-01,2021,12,PG-13,Teen,102,Feature Film,"Horror Movies, Thrillers",2,Horror
Movie,Universal Soldier: The Return,An ex-Universal Soldier working to design smarter cyborg warriors discovers that the supercomputer controlling the soldiers has a sinister agenda.,Mic Rodgers,1,"Jean-Claude Van Damme, Michael Jai White, Heidi Schanz, Xander Berkeley, Justin Lazard, Kiana Tom, Daniel von Bargen, James Black, Karis Paige Bryant, Bill Goldberg",10,United States,1,United States,North America,English,1999,1990,2021-04-01,2021,22,R,Adult,83,Feature Film,Action & Adventure,1,Action & Adventure
Movie,Wazir,"Helping an amputee grandmaster settle the score for his tragic past, a grieving detective unravels a conspiracy more complicated than he imagined.",Bejoy Nambiar,1,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul, Neil Nitin Mukesh, John Abraham",6,India,1,India,Asia,Hindi,2016,2010,2021-04-01,2021,5,TV-14,Teen,98,Feature Film,"Dramas, International Movies, Thrillers",3,Drama
Movie,White Boy,"This true-crime documentary exposes new facts about alleged teen drug lord ""White Boy Rick"" and his lesser-known role as an FBI informant.",Shawn Rech,1,Richard Wershe Jr.,1,United States,1,United States,North America,English,2017,2010,2021-04-01,2021,4,TV-MA,Adult,83,Feature Film,Documentaries,1,Documentary
TV Show,Worn Stories,"In this funny, heartfelt and moving docuseries, real people unpack the fascinating and quirky stories around their most meaningful pieces of clothing.",Not Informed,0,Not Informed,0,United States,1,United States,North America,English,2021,2020,2021-04-01,2021,0,TV-MA,Adult,1,Limited Series,"Docuseries, Reality TV",2,Documentary
Movie,Yes Man,"After a bitter divorce, a loan officer falls under the sway of a self-help guru who urges him to say yes to everything that comes his way for a year.",Peyton Reed,1,"Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins, Rhys Darby, Danny Masterson, Fionnula Flanagan, Terence Stamp, Sasha Alexander, Molly Sims",10,"United States, United Kingdom",2,United States,North America,English,2008,2000,2021-04-01,2021,13,PG-13,Teen,104,Feature Film,"Comedies, Romantic Movies",2,Comedy
Movie,At Eternity's Gate,Wild artistic inspiration and emotional turmoil fill painter Vincent van Gogh's last years as he struggles to bring his unique vision to the world.,Julian Schnabel,1,"Willem Dafoe, Rupert Friend, Oscar Isaac, Mads Mikkelsen, Mathieu Amalric, Emmanuelle Seigner, Niels Arestrup, Anne Consigny, Amira Casar, Vincent Perez, Lolita Chammah, Stella Schnabel, Vladimir Consigny",13,"Ireland, Switzerland, United Kingdom, France, United States",5,Ireland,Europe,English,2018,2010,2021-03-31,2021,3,PG-13,Teen,111,Feature Film,Dramas,1,Drama
TV Show,Haunted: Latin America,"Real people's terrifying tales of the chilling, unexplained and paranormal come to life with dramatic reenactments in this reality series.",Adrián García Bogliano,1,Not Informed,0,"United States, Mexico",2,United States,North America,English,2021,2020,2021-03-31,2021,0,TV-14,Teen,1,Limited Series,"International TV Shows, Reality TV, Spanish-Language TV Shows",3,International
Movie,Not a Game,"This documentary offers an honest look at our fraught, complex relationship to video games from the perspectives of gamers and their concerned parents.",Jose Gomez,1,Brendon Mcdonnell,1,United Kingdom,1,United Kingdom,Europe,English,2020,2020,2021-03-31,2021,1,TV-MA,Adult,98,Feature Film,"Documentaries, International Movies, Sports Movies",3,Documentary
TV Show,Robocar Poli,"When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day.",Not Informed,0,"Donald Reignoux, Alexis Tomassian, Thomas Sagols, Pierre Francois Pistori, Bruno Magne, Catherine Desplaces, Fily Keita, Adeline Chetail, Bertrand Liebert, Christophe Lemoine",10,South Korea,1,South Korea,Asia,Korean,2015,2010,2021-03-31,2021,6,TV-Y,Kids,2,Short Series,"Kids' TV, Korean TV Shows",2,Family
TV Show,Yu-Gi-Oh!,"The lives of young Yugi Moto and his friends Joey, Tristan, and Téa are forever changed when a fantasy card game becomes their reality.",Not Informed,0,"Dan Green, Eric Stuart, Amy Birnbaum, Darren Dunstan, Wayne Grayson, Tara Sands, Lisa Ortiz, Megan Hollingshead, Madeleine Blaustein, Sam Riegel, Ted Lewis, Gregory Abbey, Jimmy Zoppi",13,Japan,1,Japan,Asia,Japanese,2005,2000,2021-03-31,2021,16,TV-Y7,Kids,1,Limited Series,"Anime Series, Kids' TV",2,Anime
Movie,7 Yards: The Chris Norton Story,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident — with the woman he loves by his side.",Jonathon Link,1,Chris Norton,1,United States,1,United States,North America,English,2021,2020,2021-03-30,2021,0,TV-PG,Teen,93,Feature Film,Documentaries,1,Documentary
Movie,Octonauts & the Ring of Fire,"When red-hot volcanoes start a chain reaction of disasters across the ocean, the Octonauts must work together to face their biggest challenge yet.",Blair Simmons,1,"Simon Greenall, Rob Rackstraw, Jo Wyatt, Paul Buckley, Simon Foster, Teresa Gallagher, Richard Grieve, Michael Murphy, Paul Panting, Keith Wickham",10,"China, United Kingdom",2,China,Asia,Mandarin,2021,2020,2021-03-30,2021,0,TV-Y,Kids,73,Feature Film,Children & Family Movies,1,Family
TV Show,Rainbow High,"The popular fashion dolls come to life in this animated series as they let their talents and true colors shine at the visual arts school, Rainbow High.",Not Informed,0,"Tara Sands, Anairis Quiñones, Laura Stahl, Jenny Yokobori, Kira Buckland, Brittany Cox, Brittany Lauda, Christian Banas, Rebeka Thomas, Hayden Summerall, Deneen Melody",11,United States,1,United States,North America,English,2020,2020,2021-03-30,2021,1,TV-Y,Kids,1,Limited Series,Kids' TV,1,Family
Movie,Mandela: Long Walk to Freedom,This in-depth biopic portrays groundbreaking South African leader Nelson Mandela's fight against political oppression and virulent racism.,Justin Chadwick,1,"Idris Elba, Naomie Harris, Tony Kgoroge, Riaad Moosa, Zolani Mkiva, Simo Mogwaza, Fana Mokoena, Thapelo Mokoena, Jamie Bartlett, Deon Lotz, Terry Pheto, Mark Elderkin",12,"United Kingdom, South Africa, France",3,United Kingdom,Europe,English,2013,2010,2021-03-29,2021,8,PG-13,Teen,141,Feature Film,"Dramas, International Movies",2,Drama
Movie,Lawless,"This true-to-life action saga profiles Virginia's bootlegging Bondurant brothers, whose exploits during the Prohibition era made them outlaw heroes.",John Hillcoat,1,"Shia LaBeouf, Jessica Chastain, Jason Clarke, Guy Pearce, Lew Temple, Gary Oldman, Tim Tolin, Dane DeHaan, Mia Wasikowska, Chris McGarry, Tom Hardy",11,United States,1,United States,North America,English,2012,2010,2021-03-28,2021,9,R,Adult,116,Feature Film,Dramas,1,Drama
Movie,Marked,"This documentary explores Nigeria’s cultural practice of marking, including its origins and meaning as a symbol of identity, beauty and spirituality.",Nadine Ibrahim,1,Not Informed,0,Nigeria,1,Nigeria,Africa,English,2021,2020,2021-03-28,2021,0,TV-PG,Teen,21,Short Film,"Documentaries, International Movies",2,Documentary
Movie,A Week Away,"In this uplifting musical, a troubled teen takes a leap of faith by attending summer camp — and unexpectedly finds love, friends and a place to belong.",Roman White,1,"Kevin Quinn, Bailee Madison, Jahbril Cook, Kat Conner Sterling, Sherri Shepherd, David Koechner, Iain Tucker, Amy Grant",8,United States,1,United States,North America,English,2021,2020,2021-03-26,2021,0,TV-PG,Teen,98,Feature Film,"Children & Family Movies, Faith & Spirituality, Music & Musicals",3,Family
Movie,Bad Trip,"In this hidden-camera prank comedy, two best friends bond on a wild road trip to New York as they pull real people into their raunchy, raucous antics.",Not Informed,0,"Eric André, Lil Rel Howery, Tiffany Haddish, Michaela Conlin",4,United States,1,United States,North America,English,2021,2020,2021-03-26,2021,0,TV-MA,Adult,87,Feature Film,Comedies,1,Comedy
TV Show,Big Time Rush,"After a talent agent discovers four talented pals and turns them into a boy band called Big Time Rush, they must adjust to their exciting new lives.",Not Informed,0,"Kendall Schmidt, James Maslow, Carlos Pena, Logan Henderson, Ciara Bravo, Stephen Kramer Glickman, Tanya Chisholm, Challen Cates, Erin Sanders, Matt Riedy",10,United States,1,United States,North America,English,2013,2010,2021-03-26,2021,8,TV-G,Family,4,Long-running Series,Kids' TV,1,Family
Movie,Black Is Beltza,A young Basque man is radicalized in 1960s America after being forbidden from participating in a parade on racial grounds.,Fermín Muguruza,1,"Unax Ugalde, Isaach De Bankolé, Iseo, Sergi López, Ramón Agirre, Jorge Perugorría, Angelo Moore, Maria de Medeiros",8,Unknown,0,Unknown,Unknown,Unknown,2018,2010,2021-03-26,2021,3,TV-MA,Adult,87,Feature Film,"Dramas, International Movies",2,Drama
Movie,Croupier,"A would-be writer lands a job as a croupier to make ends meet. But when he becomes involved with a gambler, he is lured into taking part in a heist.",Mike Hodges,1,"Clive Owen, Kate Hardie, Alex Kingston, Gina McKee, Nicholas Ball, Nick Reding, Alexander Morton",7,"Ireland, United Kingdom, France, Germany",4,Ireland,Europe,English,1998,1990,2021-03-26,2021,23,TV-MA,Adult,95,Feature Film,"Dramas, Independent Movies, Thrillers",3,Drama
Movie,Elizabeth and Margaret: Love and Loyalty,"This documentary takes an intimate look at the complex, widely misunderstood relationship between Queen Elizabeth II and her sister, Princess Margaret.",Not Informed,0,Not Informed,0,United Kingdom,1,United Kingdom,Europe,English,2020,2020,2021-03-26,2021,1,TV-PG,Teen,87,Feature Film,Documentaries,1,Documentary
Movie,Keeping the Bees,Ayşe returns from Germany to her Black Sea hometown and sets out to fulfill her mom's dying wish — to care for her beloved bee farms.,Eylem Kaftan,1,"Meryem Uzerli, Feyyaz Duman, Hakan Karsak, Şennur Nogaylar, Burcu Salihoğlu",5,Turkey,1,Turkey,Europe,Turkish,2020,2020,2021-03-26,2021,1,TV-14,Teen,93,Feature Film,"Dramas, International Movies",2,Drama
TV Show,Magic for Humans Spain,"In this Spanish adaptation of ""Magic for Humans,"" folks of all ages on the streets of Barcelona are amazed by tricks that inspire delight and wonder.",Not Informed,0,Antonio Díaz,1,Spain,1,Spain,Europe,Spanish,2021,2020,2021-03-26,2021,0,TV-MA,Adult,1,Limited Series,"International TV Shows, Reality TV, Spanish-Language TV Shows",3,International
Movie,Ni de coña,"Trying to fix their relationships, four couples attend a spiritual retreat at a Caribbean resort, where temptation and mishaps add problems to the mix.",Fernando Ayllón,1,"Nathalie Seseña, Goyo Jiménez, José Juan Vaquero, Jordi Sánchez, Ricardo Quevedo, Carolina Noriega, Max Marieges, Kikín Fernández, Norma Nivia, Moi Camacho",10,Spain,1,Spain,Europe,Spanish,2020,2020,2021-03-26,2021,1,TV-MA,Adult,97,Feature Film,"Comedies, International Movies",2,Comedy
Movie,Pagglait,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband.",Umesh Bist,1,"Sanya Malhotra, Sayani Gupta, Ashutosh Rana, Raghuvir Yadav, Shruti Sharma, Sheeba Chaddha, Natasha Rastogi, Rajesh Tailang, Meghna Malik, Jameel Khan, Chetan Sharma, Ananya Khare, Bhupesh Pandya",13,India,1,India,Asia,Hindi,2021,2020,2021-03-26,2021,0,TV-PG,Teen,114,Feature Film,"Comedies, Dramas, International Movies",3,Comedy
TV Show,The Irregulars,"A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes.",Not Informed,0,"Mckell David, Thaddea Graham, Jojo Macari, Harrison Osterfield, Darci Shaw, Clarke Peters, Royce Pierreson, Henry Lloyd-Hughes",8,United Kingdom,1,United Kingdom,Europe,English,2021,2020,2021-03-26,2021,0,TV-14,Teen,1,Limited Series,"British TV Shows, Crime TV Shows, International TV Shows",3,TV Shows
Movie,Caught by a Wave,"After falling in love at a sailing summer camp in Sicily, reality comes crashing down on a teenage couple when a harsh truth prompts a pivotal decision.",Massimiliano Camaiti,1,"Elvira Camarrone, Christian Roberto, Donatella Finocchiaro, Corrado Invernizzi, Vincenzo Amato, Manuela Ventura, Rosalba Battaglia, Daniele Pilli",8,Italy,1,Italy,Europe,Italian,2021,2020,2021-03-25,2021,0,TV-14,Teen,100,Feature Film,"Dramas, International Movies, Romantic Movies",3,Drama
TV Show,DOTA: Dragon's Blood,A conflicted yet courageous Dragon Knight must use the power of the dragon within to stop a deadly demon in this epic fantasy based on the online game.,Not Informed,0,"Yuri Lowenthal, Lara Pulver, Kari Wahlgren, Alix Wilton Regan, Troy Baker, Freya Tingley, Tony Todd",7,United States,1,United States,North America,English,2021,2020,2021-03-25,2021,0,TV-MA,Adult,1,Limited Series,Anime Series,1,Anime
TV Show,Pui Pui Molcar,They’re guinea pigs! And they’re cars! The fuzzy and adorable molcars have lots of fun adventures in this delightful stop-motion animation.,Not Informed,0,Not Informed,0,Japan,1,Japan,Asia,Japanese,2021,2020,2021-03-25,2021,0,TV-Y7,Kids,1,Limited Series,Kids' TV,1,Family
Movie,Secret Magic Control Agency,"Hansel and Gretel of fairy tale fame — now acting as secret agents — must use magic, clever thinking and teamwork on a mission to find a missing king.",Aleksey Tsitsilin,1,"Nicholas Corda, Sylvana Joyce, Alyson Leigh Rosenfeld, Courtney Shaw, Erica Schroeder, Georgette Timoney, Mary O'Brady, Marc Thompson",8,"Russia, United States",2,Russia,Europe,Russian,2021,2020,2021-03-25,2021,0,TV-Y7,Kids,105,Feature Film,"Children & Family Movies, Comedies",2,Family
